1#央视频道,#genre#
CCTV1综合,rtsp://115.153.245.70/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2财经,rtsp://115.153.245.70/PLTV/88888888/224/3221226825/59814584.smil
CCTV3综艺,rtsp://115.153.245.70/PLTV/88888888/224/3221226930/65406412.smil
CCTV4国际,rtsp://115.153.245.70/PLTV/88888888/224/3221226838/59814684.smil
CCTV5体育,rtsp://115.153.245.70/PLTV/88888888/224/3221226907/65396401.smil
CCTV5+赛事,rtsp://115.153.245.70/PLTV/88888888/224/3221226976/85722488.smil
CCTV6电影,rtsp://115.153.245.70/PLTV/88888888/224/3221226909/65396493.smil
CCTV7军事,rtsp://115.153.245.70/PLTV/88888888/224/3221226827/59814693.smil
CCTV8电视剧,rtsp://115.153.245.70/PLTV/88888888/224/3221226911/65406606.smil
CCTV9纪录,rtsp://115.153.245.70/PLTV/88888888/224/3221226840/59814699.smil
CCTV10科教,rtsp://115.153.245.70/PLTV/88888888/224/3221226630/51813372.smil
CCTV11戏曲,rtsp://115.153.245.70/PLTV/88888888/224/3221226986/85722616.smil
CCTV12社会,rtsp://115.153.245.70/PLTV/88888888/224/3221226829/59814709.smil
CCTV13新闻,rtsp://115.153.245.70/PLTV/88888888/224/3221227037/87447722.smil
CCTV14少儿,rtsp://115.153.245.70/PLTV/88888888/224/3221226634/51813368.smil
CCTV15音乐,rtsp://115.153.245.70/PLTV/88888888/224/3221226988/85722541.smil
CCTV16奥林匹克,rtsp://115.153.245.70/PLTV/88888888/224/3221225613/iptv7997.smil
CCTV17农业,rtsp://115.153.245.70/PLTV/88888888/224/3221226846/61397282.smil
CCTV欧洲,rtsp://115.153.245.70/PLTV/88888888/224/3221226964/77799053.smil
CCTV美洲,rtsp://115.153.245.70/PLTV/88888888/224/3221226962/77799052.smil
CCTV第一剧场4K,rtsp://115.153.245.70/PLTV/88888888/224/3221226961/86128891.smil
CCTV风云音乐,rtsp://115.153.245.70/PLTV/88888888/224/3221226994/86128897.smil
CCTV风云剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226963/86128874.smil
CCTV怀旧剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226996/86128881.smil
CCTV世界地理,rtsp://115.153.245.70/PLTV/88888888/224/3221226965/86128966.smil
CCTV女性时尚,rtsp://115.153.245.70/PLTV/88888888/224/3221226998/86128978.smil
CCTV高尔夫网球,rtsp://115.153.245.70/PLTV/88888888/224/3221226967/86128985.smil
CCTV风云足球,rtsp://115.153.245.70/PLTV/88888888/224/3221227000/86128919.smil
CCTV电视指南,rtsp://115.153.245.70/PLTV/88888888/224/3221226969/86129034.smil
CCTV兵器科技,rtsp://115.153.245.70/PLTV/88888888/224/3221227004/86132185.smil


2#卫视频道,#genre#
江西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226656/46275837.smil
湖南卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225697/iptv8039.smil
浙江卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225768/10000100000000060000000000913518_0.smil
江苏卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225766/10000100000000060000000000913517_0.smil
东方卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225770/10000100000000060000000000913526_0.smil
北京卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225546/iptv51912.smil
广东卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225957/10000100000000060000000000913519_0.smil
深圳卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225764/10000100000000060000000000913503_0.smil
湖北卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225827/10000100000000060000000000470332_2.smil
天津卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226652/46098366.smil
安徽卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226622/51176344.smil
辽宁卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226649/46098370.smil
山东卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225919/10000100000000060000000000811554_0.smil
东南卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226677/51176347.smil
云南卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226937/72640386.smil
吉林卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226831/59814731.smil
西藏卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221227276/123649585.smil
广西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226954/71778425.smil
宁夏卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225747/iptv101619.smil
河南卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226842/59814787.smil
重庆卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226638/51813388.smil
甘肃卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221227039/87447727.smil
海南卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226933/70442779.smil
四川卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226693/51813384.smil
山西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225551/iptv7966.smil
贵州卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226833/59814738.smil
青海卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225589/iptv7985.smil
陕西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225755/iptv101726.smil
河北卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226821/59781859.smil
新疆卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221227273/123649589.smil
兵团卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221227278/123649594.smil
厦门卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226982/85722609.smil
三沙卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226984/85722645.smil
内蒙古卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225591/iptv7986.smil
黑龙江卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225584/10000100000000060000000000031778_0.smil


3#4K频道,#genre#
CCTV4K,http://vip1.xinketongxun.fun:8082/tsfile/live/1026_1.m3u8
CCTV4K,rtsp://115.153.245.70/PLTV/88888888/224/3221227073/106537394.smil
CCTV4K,rtsp://115.153.245.70/PLTV/88888888/224/3221225615/iptv7998.smil
CCTV台球4k,rtsp://115.153.245.70/PLTV/88888888/224/3221226955/86106661.smil
CCTV精品4k,rtsp://115.153.245.70/PLTV/88888888/224/3221226957/86128679.smil
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
北京卫视4K,http://8.138.7.223/tv/btime.php?id=bjws4k
北京卫视4K,rtsp://115.153.245.70/PLTV/88888888/224/3221227248/119886813.smil
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
湖南卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226398/2/index.m3u8?fmt=ts2hls
浙江卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226404/2/index.m3u8?fmt=ts2hls
江苏卫视4K,http://8.138.7.223/tv/jsws4k.php
江苏卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226401/2/index.m3u8?fmt=ts2hls
广东卫视4K,rtsp://115.153.245.70/PLTV/88888888/224/3221227267/122676407.smil
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k
深圳卫视4K,rtsp://115.153.245.70/PLTV/88888888/224/3221225609/iptv7995.smil
山东卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226407/2/index.m3u8?fmt=ts2hls
四川卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226424/2/index.m3u8?fmt=ts2hls
东方卫视4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226429/2/index.m3u8?fmt=ts2hls
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
河北卫视(4K测试),http://event.pull.hebtv.com/jishi/weishi_tingyun.m3u8
浙江卫视(4K测试),https://play-qukan.cztv.com/live/1746687519046362.m3u8
黑龙江卫视(4K测试),https://idclive.hljtv.com:4430/live/hljws_own.m3u8
金鹰卡通4K,rtsp://115.153.245.70/PLTV/88888888/224/3221226972/80382319.smil
经典电影4K,rtsp://115.153.245.70/PLTV/88888888/224/3221227010/86440860.smil
茶频道4K,rtsp://115.153.245.70/PLTV/88888888/224/3221226832/59781969.smil
四海钓鱼-4K,rtsp://115.153.245.70/PLTV/88888888/224/3221227048/86502173.smil
梨园频道-4K,rtsp://115.153.245.70/PLTV/88888888/224/3221226822/59781815.smil
武术世界4K,rtsp://115.153.245.70/PLTV/88888888/224/3221226824/59781846.smil
CHC高清电影4k,rtsp://115.153.245.70/PLTV/88888888/224/3221226990/86128784.smil
CHC家庭影院4k,rtsp://115.153.245.70/PLTV/88888888/224/3221226959/86128800.smil
CHC动作电影4k,rtsp://115.153.245.70/PLTV/88888888/224/3221226992/86128817.smil
文物宝库4K,rtsp://115.153.245.70/PLTV/88888888/224/3221226808/59781526.smil




4#江西频道,#genre#
江西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226656/46275837.smil
江西都市,rtsp://115.153.245.70/PLTV/88888888/224/3221226728/53707442.smil
江西经济生活,rtsp://115.153.245.70/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游,rtsp://115.153.245.70/PLTV/88888888/224/3221226704/53213102.smil
江西公共农业,rtsp://115.153.245.70/PLTV/88888888/224/3221226708/53213097.smil
江西少儿,rtsp://115.153.245.70/PLTV/88888888/224/3221226938/68733921.smil
江西新闻,rtsp://115.153.245.70/PLTV/88888888/224/3221226650/53190437.smil
